state/district,TOTAL 2012,Republican % 2012,REPUBLICAN 2012,Democrat % 2012,DEMOCRAT 2012,OTHER 2012,Comp. 2012,TOTAL 2016,Republican % 2016,REPUBLICAN 2016,Democrat % 2010,DEMOCRAT 2016,OTHER 2016,Comp. 2016,TOTAL 2020,Republican % 2020,REPUBLICAN 2020,Democrat % 2020,DEMOCRAT 2020,OTHER 2020,Comp. 2020,Min(Comp),Max(Comp),StdDev(Comp),Mean(Comp),Prediction(538) Republican,Prediction(538) Democrat,Prediction(538) Other,Predicted_Comp
CALIFORNIA 2,317526,0.287567002,91310,0.712432998,226216,0,0.712432998,330766,0.231499005,76572,0.768500995,254194,0,0.768500995,388755,0.242620674,94320,0.757379326,294435,0,0.757379326,0.712432998,0.768500995,0.024238363,0.74610444,0.01,0.99,0,0.99
CALIFORNIA 20,233562,0.259314443,60566,0.740685557,172996,0,0.740685557,255791,0.292469242,74811,0.707530758,180980,0,0.707530758,308554,0.232238117,71658,0.767761883,236896,0,0.767761883,0.707530758,0.767761883,0.024630957,0.738659399,0.01,0.99,0,0.99
CALIFORNIA 21,116283,0.577590877,67164,0.422409123,49119,0,0.577590877,132408,0.567382635,75126,0.432617365,57282,0,0.567382635,170334,0.504467693,85928,0.495532307,84406,0,0.504467693,0.504467693,0.577590877,0.03233419,0.549813735,0.42,0.58,0,0.58
CALIFORNIA 22,213941,0.618796771,132386,0.381203229,81555,0,0.618796771,234966,0.675650945,158755,0.324349055,76211,0,0.675650945,315139,0.542262303,170888,0.457737697,144251,0,0.542262303,0.542262303,0.675650945,0.054652896,0.612236673,0.97,0.03,0,0.97
CALIFORNIA 23,216003,0.732216682,158161,0,0,57842,0.732216682,241584,0.691751109,167116,0.308248891,74468,0,0.691751109,306118,0.621400898,190222,0.378599102,115896,0,0.621400898,0.621400898,0.732216682,0.045785433,0.681789563,0.99,0.01,0,0.99
CALIFORNIA 24,284495,0.449027224,127746,0.550972776,156749,0,0.550972776,310814,0.465809133,144780,0.534190867,166034,0,0.534190867,362345,0.413365715,149781,0.586634285,212564,0,0.586634285,0.534190867,0.586634285,0.0218675,0.557265976,0.01,0.99,0,0.99
CALIFORNIA 25,236575,0.547788228,129593,0.452211772,106982,0,0.547788228,261161,0.531300615,138755,0.468699385,122406,0,0.531300615,338943,0.500491233,169638,0.499508767,169305,0,0.500491233,0.500491233,0.547788228,0.019601772,0.526526692,0.45,0.55,0,0.55
CALIFORNIA 26,263935,0.473082388,124863,0.526917612,139072,0,0.526917612,280307,0.396204875,111059,0.603795125,169248,0,0.603795125,344733,0.394151416,135877,0.605848584,208856,0,0.605848584,0.526917612,0.605848584,0.036733979,0.578853774,0.01,0.99,0,0.99
CALIFORNIA 27,241008,0.360224557,86817,0.639775443,154191,0,0.639775443,250632,0.325796387,81655,0.674203613,168977,0,0.674203613,317318,0.302242545,95907,0.697757455,221411,0,0.697757455,0.639775443,0.697757455,0.023809419,0.670578837,0.01,0.99,0,0.99
CALIFORNIA 28,246711,0.235125309,58008,0.764874691,188703,0,0.764874691,270409,0.220133206,59526,0.779866794,210883,0,0.779866794,336199,0.273433294,91928,0.726566706,244271,0,0.726566706,0.726566706,0.779866794,0.022442926,0.757102731,0.01,0.99,0,0.99
CALIFORNIA 29,150281,0,0,0.740526081,111287,38994,0.740526081,171824,0,0,1,171824,0,1,210944,0,0,1,210944,0,1,0.740526081,1,0.122317178,0.913508694,0,1,0,1
CALIFORNIA 3,233968,0.457695069,107086,0.542304931,126882,0,0.542304931,256966,0.406485683,104453,0.593514317,152513,0,0.593514317,321988,0.453262233,145945,0.546737767,176043,0,0.546737767,0.542304931,0.593514317,0.0231663,0.560852338,0.02,0.98,0,0.98
CALIFORNIA 30,247851,0,0,1,247851,0,1,282604,0.273616085,77325,0.726383915,205279,0,0.726383915,345464,0.305172174,105426,0.694827826,240038,0,0.694827826,0.694827826,1,0.137028628,0.80707058,0.01,0.99,0,0.99
CALIFORNIA 31,161219,1,161219,0,0,0,1,215936,0.439324615,94866,0.560675385,121070,0,0.560675385,286050,0.387117637,110735,0.612882363,175315,0,0.612882363,0.560675385,1,0.195956841,0.72451925,0.01,0.99,0,0.99
CALIFORNIA 32,190111,0.342999616,65208,0.657000384,124903,0,0.657000384,186646,0,0,1,186646,0,1,259760,0.334223899,86818,0.665776101,172942,0,0.665776101,0.657000384,1,0.159663314,0.774258828,0.01,0.99,0,0.99
CALIFORNIA 33,318520,0,0,0.539557956,171860,146660,0.539557956,330219,0.335601525,110822,0.664398475,219397,0,0.664398475,380428,0.324198009,123334,0.675801991,257094,0,0.675801991,0.539557956,0.675801991,0.061714065,0.626586141,0.01,0.99,0,0.99
CALIFORNIA 34,140590,0.143843801,20223,0.856156199,120367,0,0.856156199,159156,0,0,1,159156,0,1,205346,0,0,1,205346,0,1,0.856156199,1,0.067808618,0.952052066,0,1,0,1
CALIFORNIA 35,142680,0,0,1,142680,0,1,171353,0.276090877,47309,0.723909123,124044,0,0.723909123,244346,0.306700335,74941,0.693299665,169405,0,0.693299665,0.693299665,1,0.137932434,0.805736263,0.01,0.99,0,0.99
CALIFORNIA 36,208142,0.470606605,97953,0.529393395,110189,0,0.529393395,232617,0.379460659,88269,0.620539341,144348,0,0.620539341,306849,0.396605497,121698,0.603394503,185151,0,0.603394503,0.529393395,0.620539341,0.039549818,0.584442413,0.03,0.97,0,0.97
CALIFORNIA 37,239580,0.135825194,32541,0.864174806,207039,0,0.864174806,237272,0,0,1,237272,0,1,296621,0.140600295,41705,0.859399705,254916,0,0.859399705,0.859399705,1,0.06518327,0.90785817,0.01,0.99,0,0.99
CALIFORNIA 38,215087,0.32455239,69807,0.67544761,145280,0,0.67544761,232114,0.295217005,68524,0.704782995,163590,0,0.704782995,256206,0,0,1,256206,0,1,0.67544761,1,0.146571143,0.793410201,0,1,0,1
CALIFORNIA 39,251967,0.57788123,145607,0.42211877,106360,0,0.57788123,263456,0.572304294,150777,0.427695706,112679,0,0.572304294,343783,0.505976154,173946,0.494023846,169837,0,0.505976154,0.505976154,0.57788123,0.032661334,0.552053893,0.26,0.74,0,0.74
CALIFORNIA 4,323688,0.611091545,197803,0.388908455,125885,0,0.611091545,350978,0.627198856,220133,0.372801144,130845,0,0.627198856,442022,0.559454054,247291,0.440545946,194731,0,0.559454054,0.559454054,0.627198856,0.028896816,0.599248152,0.95,0.05,0,0.95
CALIFORNIA 40,125553,0,0,1,125553,0,1,149297,0,0,0.713704897,106554,42743,0.713704897,186381,0.272608259,50809,0.727391741,135572,0,0.727391741,0.713704897,1,0.131853234,0.813698879,0.01,0.99,0,0.99
